player_name,skill,avg_value,shared_players,course_num_b,course_name_b,blended_r,vintage_count,event_count,course_weight,skill (groups),UPPER Course_Name,dk_price
"Svensson, Adam",sg_total,-5.152502461,92,742,Grand Reserve Golf Club,0.069100856,6,1,0.069100856,5,GRAND RESERVE GOLF CLUB,1
"Streelman, Kevin",sg_total,0.520505619,92,742,Grand Reserve Golf Club,0.069100856,6,1,0.069100856,5,GRAND RESERVE GOLF CLUB,1
"Stanger, Jimmy",sg_total,1.861401848,92,742,Grand Reserve Golf Club,0.069100856,6,1,0.069100856,5,GRAND RESERVE GOLF CLUB,1
"Snedeker, Brandt",sg_total,0.850908883,92,742,Grand Reserve Golf Club,0.069100856,6,1,0.069100856,5,GRAND RESERVE GOLF CLUB,1
"Smotherman, Austin",sg_total,-1.046444399,92,742,Grand Reserve Golf Club,0.069100856,6,1,0.069100856,5,GRAND RESERVE GOLF CLUB,1
"Schmid, Matti",sg_total,1.143606874,92,742,Grand Reserve Golf Club,0.069100856,6,1,0.069100856,5,GRAND RESERVE GOLF CLUB,1
"Schenk, Adam",sg_total,0.657760663,92,742,Grand Reserve Golf Club,0.069100856,6,1,0.069100856,5,GRAND RESERVE GOLF CLUB,1
"Ryder, Sam",sg_total,0.519658773,92,742,Grand Reserve Golf Club,0.069100856,6,1,0.069100856,5,GRAND RESERVE GOLF CLUB,1
"Rozo, Marcelo",sg_total,-1.571533122,92,742,Grand Reserve Golf Club,0.069100856,6,1,0.069100856,5,GRAND RESERVE GOLF CLUB,1
"Roy, Kevin",sg_total,-0.413669626,92,742,Grand Reserve Golf Club,0.069100856,6,1,0.069100856,5,GRAND RESERVE GOLF CLUB,1
"Riley, Davis",sg_total,0.065526275,92,742,Grand Reserve Golf Club,0.069100856,6,1,0.069100856,5,GRAND RESERVE GOLF CLUB,1
"Ramey, Chad",sg_total,1.77660121,92,742,Grand Reserve Golf Club,0.069100856,6,1,0.069100856,5,GRAND RESERVE GOLF CLUB,1
"Rai, Aaron",sg_total,-0.218067135,92,742,Grand Reserve Golf Club,0.069100856,6,1,0.069100856,5,GRAND RESERVE GOLF CLUB,1
"Putnam, Andrew",sg_total,1.81336833,92,742,Grand Reserve Golf Club,0.069100856,6,1,0.069100856,5,GRAND RESERVE GOLF CLUB,1
"Power, Seamus",sg_total,0.967379284,92,742,Grand Reserve Golf Club,0.069100856,6,1,0.069100856,5,GRAND RESERVE GOLF CLUB,1
"Phillips, Chandler",sg_total,-4.416212088,92,742,Grand Reserve Golf Club,0.069100856,6,1,0.069100856,5,GRAND RESERVE GOLF CLUB,1
"Meissner, Mac",sg_total,1.123258648,92,742,Grand Reserve Golf Club,0.069100856,6,1,0.069100856,5,GRAND RESERVE GOLF CLUB,1
"McGreevy, Max",sg_total,1.470824608,92,742,Grand Reserve Golf Club,0.069100856,6,1,0.069100856,5,GRAND RESERVE GOLF CLUB,1
"Lower, Justin",sg_total,0.514181135,92,742,Grand Reserve Golf Club,0.069100856,6,1,0.069100856,5,GRAND RESERVE GOLF CLUB,1
"Lebioda, Hank",sg_total,-0.20655692,92,742,Grand Reserve Golf Club,0.069100856,6,1,0.069100856,5,GRAND RESERVE GOLF CLUB,1
"Kizzire, Patton",sg_total,-0.074964461,92,742,Grand Reserve Golf Club,0.069100856,6,1,0.069100856,5,GRAND RESERVE GOLF CLUB,1
"Kirk, Chris",sg_total,-0.710569929,92,742,Grand Reserve Golf Club,0.069100856,6,1,0.069100856,5,GRAND RESERVE GOLF CLUB,1
