rank,player_name,dg_id,lead_in_z,lead_in_raw,predictors_found,top_course,tournament,as_of_date
1,"Crowe, Trace",27780,4.601,1.0646,4,Lakewood National Golf Club - Commander Course,Charles Schwab Challenge,2026-05-28
2,"Peterson, Paul",16341,3.013,0.7117,5,The Landings Golf & Athletic Club - Deer Creek,Charles Schwab Challenge,2026-05-28
3,"Griffin, Lanto",15330,2.512,0.6005,5,The Landings Golf & Athletic Club - Deer Creek,Charles Schwab Challenge,2026-05-28
4,"Blair, Zac",17639,2.189,0.5286,6,Lakewood National Golf Club - Commander Course,Charles Schwab Challenge,2026-05-28
5,"Ewart, A.J.",21883,1.507,0.377,3,Sawgrass Country Club,Charles Schwab Challenge,2026-05-28
6,"Springer, Hayden",21995,1.5,0.3756,6,Lakewood National Golf Club - Commander Course,Charles Schwab Challenge,2026-05-28
7,"Rozo, Marcelo",16591,1.459,0.3664,3,Sawgrass Country Club,Charles Schwab Challenge,2026-05-28
8,"Bradley, Keegan",13872,1.138,0.2951,2,Albany GC,Charles Schwab Challenge,2026-05-28
9,"Wu, Dylan",25002,1.131,0.2934,3,Sawgrass Country Club,Charles Schwab Challenge,2026-05-28
10,"Moore, Taylor",21944,1.124,0.292,4,Sawgrass Country Club,Charles Schwab Challenge,2026-05-28
11,"Horschel, Billy",11276,1.051,0.2757,3,Albany GC,Charles Schwab Challenge,2026-05-28
12,"McCarty, Matt",28635,1.004,0.2652,3,Quail Hollow Club,Charles Schwab Challenge,2026-05-28
13,"Fowler, Rickie",12965,0.93,0.2487,1,Quail Hollow Club,Charles Schwab Challenge,2026-05-28
14,"Stanger, Jimmy",23048,0.899,0.242,2,TPC Louisiana,Charles Schwab Challenge,2026-05-28
15,"Tosti, Alejandro",17032,0.884,0.2386,3,Sawgrass Country Club,Charles Schwab Challenge,2026-05-28
16,"Im, Sungjae",17488,0.854,0.2319,1,Quail Hollow Club,Charles Schwab Challenge,2026-05-28
17,"Hardy, Nick",19865,0.724,0.203,4,Silverado Resort (North Course),Charles Schwab Challenge,2026-05-28
18,"Putnam, Andrew",14704,0.717,0.2015,4,TPC Louisiana,Charles Schwab Challenge,2026-05-28
19,"MacIntyre, Robert",23323,0.714,0.2009,2,Albany GC,Charles Schwab Challenge,2026-05-28
20,"Skinns, David",10873,0.686,0.1946,4,Lakewood National Golf Club - Commander Course,Charles Schwab Challenge,2026-05-28
21,"Spaun, J.J.",17536,0.686,0.1947,3,Quail Hollow Club,Charles Schwab Challenge,2026-05-28
22,"Smotherman, Austin",22985,0.648,0.1862,2,Quail Hollow Club,Charles Schwab Challenge,2026-05-28
23,"Ventura, Kris",15651,0.613,0.1784,3,Silverado Resort (North Course),Charles Schwab Challenge,2026-05-28
24,"Hall, Harry",27194,0.574,0.1698,1,Quail Hollow Club,Charles Schwab Challenge,2026-05-28
25,"Dou, Zecheng",16757,0.554,0.1653,2,TPC Louisiana,Charles Schwab Challenge,2026-05-28
26,"Greyserman, Max",23465,0.516,0.1569,3,TPC Louisiana,Charles Schwab Challenge,2026-05-28
