masters_year,masters_start_date,window_start,window_end,predictor_course_num,predictor_tour,predictor_event_date,weeks_before_masters,days_before_masters,predictor_skill,target_skill,metric_type,correlation_r,r_squared,p_value,weighted_score,is_strong_signal,shared_players,masters_field_size,positive_predictor_only,min_shared_players,run_timestamp,predictor_course_name
2019,2019-04-14,2018-12-26,2019-04-14,770,pga,2019-04-07,1.0,7,sg_putt,sg_total,vs_expected,0.4119665836500626,0.16971646604430404,0.10035690757812213,0.37062289128941855,True,17,87,False,4,2026-04-06 19:05:29.498914,TPC San Antonio - The Oaks Course
2019,2019-04-14,2018-12-26,2019-04-14,770,pga,2019-04-07,1.0,7,sg_app,sg_total,vs_expected,0.1720733183579074,0.02960922689070175,0.5090039477978211,0.08448732000306125,False,17,87,False,4,2026-04-06 19:05:29.498914,TPC San Antonio - The Oaks Course
2019,2019-04-14,2018-12-26,2019-04-14,770,pga,2019-04-07,1.0,7,sg_total,sg_total,vs_expected,0.11656792890874873,0.013588082050075098,0.6450662958296745,0.04137388679504536,False,18,87,False,4,2026-04-06 19:05:29.498914,TPC San Antonio - The Oaks Course
2019,2019-04-14,2018-12-26,2019-04-14,770,pga,2019-04-07,1.0,7,sg_ott,sg_total,vs_expected,-0.048340008053855764,0.00233675637864684,0.8538281999578221,-0.0070659459912854735,False,17,87,False,4,2026-04-06 19:05:29.498914,TPC San Antonio - The Oaks Course
2019,2019-04-14,2018-12-26,2019-04-14,770,pga,2019-04-07,1.0,7,sg_arg,sg_total,vs_expected,-0.3954443153236213,0.15637620652176762,0.11615844710972217,-0.34951011773726215,False,17,87,False,4,2026-04-06 19:05:29.498914,TPC San Antonio - The Oaks Course
2019,2019-04-14,2018-12-26,2019-04-14,665,pga,2019-03-24,3.0,21,sg_ott,sg_total,vs_expected,0.028851941364847172,0.0008324345205205793,0.886405080685564,0.0032774339514046527,False,27,87,False,4,2026-04-06 19:05:29.498914,Innisbrook Resort and Golf Club - Copperhead Course
2019,2019-04-14,2018-12-26,2019-04-14,665,pga,2019-03-24,3.0,21,sg_app,sg_total,vs_expected,-0.05166292160513191,0.0026690574687780054,0.7980153189083905,-0.01043511874467339,False,27,87,False,4,2026-04-06 19:05:29.498914,Innisbrook Resort and Golf Club - Copperhead Course
2019,2019-04-14,2018-12-26,2019-04-14,665,pga,2019-03-24,3.0,21,sg_putt,sg_total,vs_expected,-0.08489708319410565,0.007207514734866896,0.6737363483662004,-0.027698832375967382,False,27,87,False,4,2026-04-06 19:05:29.498914,Innisbrook Resort and Golf Club - Copperhead Course
2019,2019-04-14,2018-12-26,2019-04-14,665,pga,2019-03-24,3.0,21,sg_total,sg_total,vs_expected,-0.10235049634900072,0.01047562410288681,0.6114527576216479,-0.03976800311245983,False,27,87,False,4,2026-04-06 19:05:29.498914,Innisbrook Resort and Golf Club - Copperhead Course
2019,2019-04-14,2018-12-26,2019-04-14,665,pga,2019-03-24,3.0,21,sg_arg,sg_total,vs_expected,-0.16675367180161269,0.027806787059319958,0.40579238823960034,-0.09908630107351377,False,27,87,False,4,2026-04-06 19:05:29.498914,Innisbrook Resort and Golf Club - Copperhead Course
2019,2019-04-14,2018-12-26,2019-04-14,11,pga,2019-03-17,4.0,28,sg_total,sg_total,vs_expected,0.2889887153720297,0.08351447761237599,0.015252315444155843,0.2845809683253741,True,70,87,False,4,2026-04-06 19:05:29.498914,TPC Sawgrass - THE PLAYERS Stadium Course
2019,2019-04-14,2018-12-26,2019-04-14,11,pga,2019-03-17,4.0,28,sg_ott,sg_total,vs_expected,0.25986993171343054,0.06753238140874306,0.036568475065754134,0.2503668845952287,True,65,87,False,4,2026-04-06 19:05:29.498914,TPC Sawgrass - THE PLAYERS Stadium Course
2019,2019-04-14,2018-12-26,2019-04-14,11,pga,2019-03-17,4.0,28,sg_putt,sg_total,vs_expected,0.2213220798627229,0.04898346303476149,0.07643153506567871,0.20440609355488626,True,65,87,False,4,2026-04-06 19:05:29.498914,TPC Sawgrass - THE PLAYERS Stadium Course
2019,2019-04-14,2018-12-26,2019-04-14,11,pga,2019-03-17,4.0,28,sg_arg,sg_total,vs_expected,0.19845846518170634,0.03938576240227855,0.11301503813001111,0.17602967417197232,True,65,87,False,4,2026-04-06 19:05:29.498914,TPC Sawgrass - THE PLAYERS Stadium Course
2019,2019-04-14,2018-12-26,2019-04-14,11,pga,2019-03-17,4.0,28,sg_app,sg_total,vs_expected,-0.07652003536459451,0.005855315812198794,0.5446188615261899,-0.03484578082038526,False,65,87,False,4,2026-04-06 19:05:29.498914,TPC Sawgrass - THE PLAYERS Stadium Course
2019,2019-04-14,2018-12-26,2019-04-14,9,pga,2019-03-10,5.0,35,sg_total,sg_total,vs_expected,0.14170055255973785,0.020079046595735027,0.3420630291141101,0.09323003232401077,False,47,87,False,4,2026-04-06 19:05:29.498914,Arnold Palmer's Bay Hill Club & Lodge
