predictor_course_name,predictor_skill,avg_r,avg_weighted_score,avg_r_squared,years_observed,years_strong,pct_years_positive,avg_shared_players,decay_lift,last_played,tournament,as_of_date
The Classic Club,sg_app,0.4359,0.3892,0.1978,2,2,1.0,15.0,0.0,2008-01-20,The Memorial,2026-06-04
TPC Craig Ranch,sg_total,0.25,0.2295,0.0887,3,2,1.0,30.0,0.0,2025-05-04,The Memorial,2026-06-04
TPC Southwind,sg_ott,0.2644,0.2252,0.0704,2,2,1.0,31.5,0.0,2005-05-29,The Memorial,2026-06-04
Cottonwood Valley GC,sg_app,0.2325,0.1862,0.0787,3,1,1.0,25.6667,0.0,2007-04-29,The Memorial,2026-06-04
TPC Craig Ranch,sg_app,0.2041,0.1495,0.0542,3,2,1.0,30.0,0.0,2025-05-04,The Memorial,2026-06-04
TPC Craig Ranch,sg_putt,0.2039,0.1494,0.0475,3,1,1.0,30.0,0.0,2025-05-04,The Memorial,2026-06-04
Memorial Park Golf Course,sg_app,0.2009,0.1492,0.0442,2,1,1.0,32.0,0.0,2025-03-30,The Memorial,2026-06-04
El Camaleón Golf Course at Mayakoba,sg_total,0.1847,0.1461,0.0485,6,3,1.0,30.3333,0.0,2012-02-26,The Memorial,2026-06-04
Trump National Doral - Blue Monster Course,sg_total,0.1683,0.1415,0.0496,10,5,0.9,35.4,0.0,2016-03-06,The Memorial,2026-06-04
Silver Rock,sg_app,0.1508,0.1353,0.0974,4,1,0.75,17.25,0.0,2011-01-23,The Memorial,2026-06-04
Trump National Doral - Blue Monster Course,sg_arg,0.1544,0.1315,0.0494,10,5,0.9,35.4,0.0,2016-03-06,The Memorial,2026-06-04
Cottonwood Valley GC,sg_total,0.1377,0.1259,0.045,3,2,0.667,26.3333,0.0,2007-04-29,The Memorial,2026-06-04
TPC Southwind,sg_app,0.1682,0.1259,0.0379,2,1,1.0,31.5,0.0,2005-05-29,The Memorial,2026-06-04
TPC San Antonio - The Oaks Course,sg_ott,0.145,0.1218,0.0375,15,6,0.867,58.7333,0.0,2025-04-06,The Memorial,2026-06-04
TPC Craig Ranch,sg_ott,0.1187,0.1178,0.0568,3,2,0.667,30.0,0.0,2025-05-04,The Memorial,2026-06-04
TPC Louisiana,sg_ott,0.1616,0.1133,0.0261,2,1,1.0,46.0,0.0,2025-04-27,The Memorial,2026-06-04
PGA West (Nicklaus),sg_arg,0.1326,0.1068,0.0476,7,3,0.714,20.1429,0.0,2015-01-25,The Memorial,2026-06-04
Trinity Forest Golf Club,sg_ott,0.1321,0.102,0.0257,2,1,1.0,46.5,0.0,2019-05-12,The Memorial,2026-06-04
Nicklaus Tournament Course,sg_ott,0.1154,0.0987,0.0834,9,3,0.667,19.2222,0.0,2025-01-19,The Memorial,2026-06-04
TPC Louisiana,sg_app,0.1463,0.0972,0.0216,2,1,1.0,46.0,0.0,2025-04-27,The Memorial,2026-06-04
Trump National Doral - Blue Monster Course,sg_ott,0.1116,0.0966,0.0299,10,4,0.7,35.4,0.0,2016-03-06,The Memorial,2026-06-04
Redstone GC (Fall Creek),sg_putt,0.0819,0.0952,0.0343,2,1,0.5,53.5,0.0,2005-04-24,The Memorial,2026-06-04
Hualalai Golf Course,sg_app,0.1065,0.0951,0.0552,11,3,0.545,20.6364,0.0,2015-01-25,The Memorial,2026-06-04
Monterey Peninsula CC,sg_putt,0.1395,0.0923,0.0478,12,4,0.833,16.9167,0.0,2023-02-05,The Memorial,2026-06-04
TPC San Antonio - The Oaks Course,sg_total,0.1057,0.0904,0.032,15,4,0.8,58.7333,0.0,2025-04-06,The Memorial,2026-06-04
PGA National  - Champion Course,sg_app,0.1427,0.0897,0.021,2,1,1.0,39.5,0.0,2025-03-02,The Memorial,2026-06-04
Pete Dye Stadium Course,sg_putt,0.0882,0.0872,0.0469,9,2,0.556,26.2222,0.0,2025-01-19,The Memorial,2026-06-04
Plantation Course at Kapalua,sg_putt,0.1095,0.0864,0.0576,18,9,0.667,25.3889,0.0,2025-01-05,The Memorial,2026-06-04
Redstone GC (Fall Creek),sg_arg,0.129,0.0841,0.017,2,1,1.0,53.5,0.0,2005-04-24,The Memorial,2026-06-04
Pete Dye Stadium Course,sg_total,0.0801,0.0766,0.0535,9,3,0.556,26.3333,0.0,2025-01-19,The Memorial,2026-06-04
Trump National Doral - Blue Monster Course,sg_putt,0.0816,0.0756,0.0261,10,3,0.5,35.4,0.0,2016-03-06,The Memorial,2026-06-04
Pete Dye Stadium Course,sg_arg,0.0746,0.0746,0.0365,9,3,0.556,26.2222,0.0,2025-01-19,The Memorial,2026-06-04
Harbour Town Golf Links,sg_ott,0.0879,0.0744,0.0225,21,8,0.81,74.1905,0.0,2025-04-20,The Memorial,2026-06-04
La Quinta Country Club,sg_total,0.0736,0.0727,0.0723,18,6,0.5,19.4444,0.0,2025-01-19,The Memorial,2026-06-04
Memorial Park Golf Course,sg_total,0.1049,0.0717,0.0205,2,1,1.0,32.0,0.0,2025-03-30,The Memorial,2026-06-04
Spyglass Hill Golf Course,sg_total,0.0808,0.0716,0.0756,20,7,0.6,18.9,0.0,2025-02-02,The Memorial,2026-06-04
PGA National  - Champion Course,sg_ott,0.0592,0.0713,0.0455,2,1,0.5,39.5,0.0,2025-03-02,The Memorial,2026-06-04
Colonial Country Club,sg_arg,0.0727,0.0693,0.0219,20,7,0.65,72.9,0.0,2025-05-25,The Memorial,2026-06-04
TPC Southwind,sg_total,0.0968,0.0683,0.0181,2,1,1.0,31.5,0.0,2005-05-29,The Memorial,2026-06-04
Torrey Pines Golf Course (North Course),sg_app,0.0678,0.0671,0.0582,20,7,0.6,25.9,0.0,2025-01-25,The Memorial,2026-06-04
The Classic Club,sg_arg,0.1442,0.0632,0.0245,2,1,1.0,15.0,0.0,2008-01-20,The Memorial,2026-06-04
Torrey Pines Golf Course (South Course),sg_putt,0.061,0.0626,0.029,20,7,0.6,44.0,0.0,2025-02-16,The Memorial,2026-06-04
