rank,player_name,dg_id,lead_in_z,lead_in_raw,predictors_found,top_course,tournament,as_of_date
1,"Bauchou, Zach",19846,1.896,0.3662,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
2,"Stanger, Jimmy",23048,1.893,0.3657,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
3,"Dunlap, Nick",28270,1.856,0.3596,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
4,"Smalley, Alex",18474,1.839,0.3568,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
5,"Fowler, Rickie",12965,1.617,0.3208,2,Quail Hollow Club,Charles Schwab Challenge,2026-05-29
6,"McCarty, Matt",28635,1.569,0.3131,3,Quail Hollow Club,Charles Schwab Challenge,2026-05-29
7,"Dou, Zecheng",16757,1.552,0.3103,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
8,"Lipsky, David",15980,1.535,0.3076,2,Quail Hollow Club,Charles Schwab Challenge,2026-05-29
9,"Meissner, Mac",28159,1.469,0.2968,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
10,"Ventura, Kris",15651,1.427,0.29,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
11,"Rozo, Marcelo",16591,1.364,0.2798,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
12,"Pavon, Matthieu",19960,1.296,0.2689,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
13,"Whaley, Vince",25908,1.243,0.2602,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
14,"Lebioda, Hank",21943,1.22,0.2566,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
15,"Crowe, Trace",27780,1.204,0.2539,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
16,"Hall, Harry",27194,1.202,0.2536,2,Quail Hollow Club,Charles Schwab Challenge,2026-05-29
17,"Im, Sungjae",17488,1.144,0.2442,2,Quail Hollow Club,Charles Schwab Challenge,2026-05-29
18,"Horschel, Billy",11276,1.123,0.2408,3,TPC Louisiana,Charles Schwab Challenge,2026-05-29
19,"Kang, Jeffrey",21889,1.092,0.2358,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
20,"Novak, Andrew",23475,1.07,0.2321,3,Quail Hollow Club,Charles Schwab Challenge,2026-05-29
21,"Spaun, J.J.",17536,1.047,0.2285,2,Quail Hollow Club,Charles Schwab Challenge,2026-05-29
22,"Cole, Eric",21756,1.025,0.2249,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
23,"Brown, Dan",20766,1.017,0.2236,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
24,"Echavarria, Nico",22833,1.005,0.2216,2,Quail Hollow Club,Charles Schwab Challenge,2026-05-29
25,"Blanchet, Chandler",24956,0.989,0.2191,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
26,"Eckroat, Austin",26653,0.967,0.2155,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
27,"Aberg, Ludvig",23950,0.938,0.2107,2,Quail Hollow Club,Charles Schwab Challenge,2026-05-29
28,"Smotherman, Austin",22985,0.887,0.2026,3,Quail Hollow Club,Charles Schwab Challenge,2026-05-29
29,"Woodland, Gary",12577,0.887,0.2025,1,Quail Hollow Club,Charles Schwab Challenge,2026-05-29
30,"Hardy, Nick",19865,0.857,0.1977,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
31,"Yellamaraju, Sudarshan",29925,0.832,0.1936,2,Quail Hollow Club,Charles Schwab Challenge,2026-05-29
32,"Ryder, Sam",16715,0.744,0.1793,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
33,"Griffin, Lanto",15330,0.734,0.1777,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
34,"Riley, Davis",19872,0.719,0.1754,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
35,"Svensson, Adam",13997,0.668,0.167,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
36,"Hoffman, Charley",5768,0.666,0.1667,1,TPC Louisiana,Charles Schwab Challenge,2026-05-29
37,"Mouw, William",29770,0.568,0.1509,1,TPC Louisiana,Charles Schwab Challenge,2026-05-29
38,"Thompson, Davis",27364,0.551,0.1481,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
39,"Skinns, David",10873,0.518,0.1427,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
40,"Smith, Jordan",18586,0.487,0.1378,1,TPC Louisiana,Charles Schwab Challenge,2026-05-29
41,"Putnam, Andrew",14704,0.411,0.1254,3,TPC Louisiana,Charles Schwab Challenge,2026-05-29
42,"Vilips, Karl",24304,0.403,0.1241,2,TPC Louisiana,Charles Schwab Challenge,2026-05-29
