rank,player_name,dg_id,sg_ott_z,sg_arg_z,sg_putt_z,sg_total_z,tournament,as_of_date
1,"Brown, Blades",32152,-0.216,,,1.742,Rocket Classic,2026-08-03
2,"Glover, Lucas",7399,-0.955,0.392,-0.088,0.734,Rocket Classic,2026-08-03
3,"Berger, Daniel",17606,-1.191,-0.095,1.684,0.626,Rocket Classic,2026-08-03
4,"Hisatsune, Ryo",22760,-2.93,-0.228,0.314,0.609,Rocket Classic,2026-08-03
5,"Kohles, Ben",16395,0.001,,,0.603,Rocket Classic,2026-08-03
6,"Theegala, Sahith",23014,-1.028,0.627,0.13,0.583,Rocket Classic,2026-08-03
7,"Young, Cameron",26651,1.936,1.062,0.463,0.577,Rocket Classic,2026-08-03
8,"Hodges, Lee",25157,0.315,,,0.569,Rocket Classic,2026-08-03
9,"Suber, Jackson",29279,1.167,,,0.567,Rocket Classic,2026-08-03
10,"Phillips, Chandler",27164,-0.019,,,0.501,Rocket Classic,2026-08-03
11,"Blair, Zac",17639,0.134,,,0.493,Rocket Classic,2026-08-03
12,"Wise, Aaron",22051,0.082,,,0.458,Rocket Classic,2026-08-03
13,"Ghim, Doug",24550,0.735,,,0.453,Rocket Classic,2026-08-03
14,"Meissner, Mac",28159,0.417,,,0.447,Rocket Classic,2026-08-03
15,"Jaeger, Stephan",16394,0.087,,1.24,0.425,Rocket Classic,2026-08-03
16,"Dunlap, Nick",28270,0.746,,,0.418,Rocket Classic,2026-08-03
17,"Horschel, Billy",11276,-0.46,,0.622,0.413,Rocket Classic,2026-08-03
18,"Lipsky, David",15980,0.636,-2.161,-0.661,0.409,Rocket Classic,2026-08-03
19,"Hall, Harry",27194,-0.312,0.344,-1.065,0.406,Rocket Classic,2026-08-03
20,"Nyholm, Pontus",25475,2.419,,,0.404,Rocket Classic,2026-08-03
21,"Van Rooyen, Erik",17550,-0.068,,,0.373,Rocket Classic,2026-08-03
22,"Yu, Kevin",17881,-0.339,,,0.369,Rocket Classic,2026-08-03
23,"Chatfield, Davis",30620,-0.593,,,0.366,Rocket Classic,2026-08-03
24,"Dou, Zecheng",16757,-0.321,,,0.365,Rocket Classic,2026-08-03
25,"Kuchar, Matt",6169,-0.08,,,0.36,Rocket Classic,2026-08-03
26,"Bezuidenhout, Christiaan",18103,0.179,,1.064,0.321,Rocket Classic,2026-08-03
27,"Cauley, Bud",14502,2.408,0.902,1.422,0.318,Rocket Classic,2026-08-03
28,"Mouw, William",29770,-0.208,,0.422,0.309,Rocket Classic,2026-08-03
29,"Vilips, Karl",24304,0.371,,,0.301,Rocket Classic,2026-08-03
30,"Grillo, Emiliano",12808,0.821,,-0.986,0.299,Rocket Classic,2026-08-03
31,"Crowe, Trace",27780,-0.577,,,0.284,Rocket Classic,2026-08-03
32,"McNealy, Maverick",18634,-1.211,-0.477,0.126,0.272,Rocket Classic,2026-08-03
33,"Malnati, Peter",14926,-0.621,,,0.269,Rocket Classic,2026-08-03
34,"Rodgers, Patrick",16283,-0.799,-2.326,-0.244,0.262,Rocket Classic,2026-08-03
35,"Straka, Sepp",17511,-0.895,0.75,-1.204,0.247,Rocket Classic,2026-08-03
